Event.Date,Location,Country,Aircraft.Category,Make,Model,Injury.Severity,Aircraft.damage,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,severe_injuries,total_injuries,estimated_passengers,fatal_injury_rate,serious_injury_rate
2019-12-16,"Shannon, Ireland",Ireland,Airplane,Boeing,767,Non-Fatal,Unknown,2.0,Turbo Fan,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-16,"Alexandria, LA",United States,Airplane,Embraer,EMB 135KL,Non-Fatal,Unknown,2.0,Unknown,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
2019-12-17,"Visalia, CA",United States,Airplane,Beech,350,Non-Fatal,Substantial,2.0,Turbo Prop,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-18,"Scotts Bluff, NE",United States,Airplane,CESSNA,525A,Non-Fatal,Substantial,2.0,Turbo Fan,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-18,"Caldwell, ID",United States,Airplane,Piper,PA22,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-18,"Starkville, MS",United States,Airplane,Champion,7ECA,Non-Fatal,Substantial,1.0,Unknown,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.5
2019-12-18,"Disputanta, VA",United States,Airplane,Embraer,ERJ190,Non-Fatal,Unknown,2.0,Turbo Fan,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
2019-12-18,"Geneva, Eswatini",Eswatini,Airplane,LEARJET,45,Non-Fatal,Unknown,2.0,Unknown,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-19,"Beeville, TX",United States,Helicopter,Robinson,R22,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-19,"Hickory Valley, TN",United States,Airplane,Pitts,A,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-19,"Harrison, OH",United States,Airplane,Cessna,172,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-19,"Chicago, IL",United States,Airplane,Boeing,737,Non-Fatal,Unknown,2.0,Unknown,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
2019-12-19,"Charallave, Venezuela",Venezuela,Airplane,BEECH,A100,Fatal,Destroyed,2.0,Unknown,9.0,0.0,0.0,9.0,9.0,10.0,0.9,0.0
2019-12-19,"Moruya, Australia",Australia,Airplane,Cessna,P210,Non-Fatal,Substantial,1.0,Unknown,0.0,1.0,1.0,1.0,2.0,3.0,0.0,0.3333333333333333
2019-12-20,"Florida, MA",United States,Airplane,Piper,PA32,Non-Fatal,Substantial,1.0,Reciprocating,0.0,3.0,0.0,3.0,3.0,4.0,0.0,0.75
2019-12-20,"Delaware, OH",United States,Airplane,Flight Design,CTSW,Non-Fatal,Substantial,1.0,Reciprocating,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.5
2019-12-21,"Evansville, IN",United States,Airplane,Piper,PA28,Fatal,Destroyed,1.0,Reciprocating,1.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0
2019-12-21,"Gainesville, FL",United States,Airplane,Cessna,P210,Non-Fatal,Substantial,1.0,Reciprocating,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.5
2019-12-21,"Rush City, MN",United States,Airplane,Cessna,172,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-21,"Salzburg, Austria, Austria",Austria,Airplane,CIRRUS,SR22,Fatal,Destroyed,1.0,Unknown,2.0,0.0,1.0,2.0,3.0,4.0,0.5,0.0
2019-12-22,"Goodyear, AZ",United States,Airplane,Cessna,182,Fatal,Substantial,1.0,Reciprocating,1.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0
2019-12-22,"Mayaguez, PR",United States,Airplane,Eipper,QUICKSILVER,Non-Fatal,Substantial,1.0,Reciprocating,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.5
2019-12-22,"Lake Havasu, AZ",United States,Airplane,Cosmos,Phase II,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
2019-12-22,"Mumbai, India",India,Airplane,AIRBUS,A320,Unknown,Unknown,2.0,Geared Turbofan,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-22,"Kansas City, MO",United States,Airplane,Boeing,737,Unknown,Substantial,2.0,Unknown,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-23,"Hanson, MA",United States,Airplane,Piper,PA28,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-23,"Pineville, LA",United States,Airplane,Cessna,172,Non-Fatal,Substantial,1.0,Reciprocating,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.5
2019-12-23,"Chandler, AZ",United States,Airplane,Piper,PA28,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-23,"Guwahati, India",India,Airplane,AIRBUS,A320,Unknown,Unknown,2.0,Geared Turbofan,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-23,"Denver, CO",United States,Airplane,BOEING,737-824,Non-Fatal,Substantial,2.0,Unknown,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-23,"Xenia, OH",United States,Airplane,ZENITH,CH 750,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-23,"New Chitose Airport (RJCC), Japan",Japan,Airplane,EMBRAER,ERJ190,Non-Fatal,Unknown,1.0,Unknown,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-24,"Rio Branco, Cerro Largo, Uruguay",Uruguay,Airplane,PIPER,PA25,Fatal,Substantial,1.0,Unknown,1.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0
2019-12-24,"Manchester, United Kingdom",United Kingdom,Airplane,BOEING,737,Unknown,Minor,1.0,Unknown,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-24,"Concord, NC",United States,Airplane,Cessna,210,Non-Fatal,Substantial,1.0,Reciprocating,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.5
2019-12-24,"Cortland, NY",United States,Airplane,Piper,PA28,Non-Fatal,Substantial,1.0,Reciprocating,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.5
2019-12-24,"San Rafael, Mexico",Mexico,Airplane,CESSNA,208,Unknown,Destroyed,1.0,Unknown,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-24,"Suffolk, VA",United States,Airplane,TEAM ROCKET F-1,F-1,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-25,"Headland, AL",United States,Helicopter,Bell,407,Fatal,Substantial,1.0,Turbo Shaft,1.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0
2019-12-26,"Ormond Beach, FL",United States,Airplane,Cessna,172,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-27,"Santa Monica, CA",United States,Airplane,Cirrus,SF50,Non-Fatal,Substantial,1.0,Unknown,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-27,"Lihue, HI",United States,Helicopter,AIRBUS,AS350B2,Fatal,Substantial,1.0,Unknown,7.0,0.0,0.0,7.0,7.0,8.0,0.875,0.0
2019-12-27,"San Salvador, Spain",Spain,Airplane,CESSNA,152,Non-Fatal,Destroyed,1.0,Unknown,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-28,"LAFAYETTE, LA",United States,Airplane,Piper,PA 31T,Fatal,Destroyed,2.0,Turbo Prop,5.0,0.0,1.0,5.0,6.0,7.0,0.7142857142857143,0.0
2019-12-28,"Missoula, MT",United States,Airplane,Cessna,170,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-28,"Farmingdale, NY",United States,Airplane,Mooney,M20J,Non-Fatal,Substantial,1.0,Reciprocating,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.5
2019-12-28,"Fletcher, NC",United States,Airplane,Piper,PA32RT,Non-Fatal,Destroyed,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-28,"Cmte Nicanor Otamendi, Argentina",Argentina,Airplane,CESSNA,560,Non-Fatal,Substantial,1.0,Turbo Fan,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-29,"College Park, MD",United States,Airplane,American Aviation,AA5,Fatal,Destroyed,1.0,Reciprocating,1.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0
2019-12-29,"Wijnendaele, Belgium",Belgium,Helicopter,Robinson,R44,Non-Fatal,Substantial,1.0,Unknown,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-30,"Robstown, TX",United States,Airplane,Cessna,182,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-30,"Big Piney, WY",United States,Airplane,Mitsubishi,MU2B,Non-Fatal,Substantial,2.0,Turbo Prop,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-30,"GRANBURY, TX",United States,Airplane,Vans,RV 10,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-30,"Vereda Cuzama, Colombia",Colombia,Airplane,PIPER,PA-32-301T,Fatal,Substantial,1.0,Reciprocating,3.0,0.0,0.0,3.0,3.0,4.0,0.75,0.0
2019-12-31,"Danbury, TX",United States,Helicopter,Enstrom,F28,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-31,"Onaga, KS",United States,Airplane,Piper,PA28R,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-31,"OLATHE, KS",United States,Airplane,Mooney,M20S,Fatal,Destroyed,1.0,Reciprocating,2.0,0.0,0.0,2.0,2.0,3.0,0.6666666666666666,0.0
2019-12-31,"Elk, CA",United States,Airplane,Cessna,175,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-01-01,"Ada, OK",United States,Airplane,Cessna,T210,Non-Fatal,Substantial,1.0,Reciprocating,0.0,2.0,0.0,2.0,2.0,3.0,0.0,0.6666666666666666
2020-01-01,"Fairbanks, AK",United States,Airplane,Cessna,170,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-01-01,"Mexico City, Mexico",Mexico,Airplane,Boeing,757,Unknown,Unknown,2.0,Unknown,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-01-02,"Kenansville, NC",United States,Airplane,Cirrus,SR22,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-01-02,"Van Nuys, CA",United States,Airplane,Gulfstream,G IV,Non-Fatal,Unknown,2.0,Turbo Fan,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
2020-01-03,"San Juan, PR",United States,Airplane,BEECH,HAWKER 900XP,Non-Fatal,Substantial,2.0,Turbo Fan,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-01-03,"Lifou Wanaham, New Caledonia",New Caledonia,Airplane,Mooney,M20,Fatal,Destroyed,1.0,Reciprocating,4.0,0.0,0.0,4.0,4.0,5.0,0.8,0.0
2020-01-03,"Dhana, India",India,Airplane,CESSNA,172,Unknown,Substantial,1.0,Unknown,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-01-04,"Morristown, NJ",United States,Airplane,Beech,200,Non-Fatal,Substantial,2.0,Turbo Prop,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-01-04,"Santa Clarita, CA",United States,Airplane,Thunder Mustang,TM-1,Fatal,Destroyed,1.0,Reciprocating,1.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0
2020-01-04,"Mullin, TX",United States,Airplane,Aero Commander,100,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-01-04,"Mokelumne Hills, CA",United States,Helicopter,Sud Aviation,SE 3130 ALOUETTE II,Non-Fatal,Substantial,1.0,Unknown,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-01-04,"Twentynine Palms, CA",United States,Airplane,Cessna,150,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
