Event.Date,Location,Country,Aircraft.Category,Make,Model,Injury.Severity,Aircraft.damage,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,severe_injuries,total_injuries,estimated_passengers,fatal_injury_rate,serious_injury_rate,is_destroyed,aircraft_type
1982-06-28,"CANADIAN, TX",United States,Helicopter,HUGHES,269C,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,HUGHES_269C
1982-06-28,"FIRESTONE, CO",United States,Airplane,AERO COMMANDER,100,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,AERO COMMANDER_100
1982-06-28,"RONAN, MT",United States,Helicopter,HUGHES,269C,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0,HUGHES_269C
1982-06-28,"LOWELL, MI",United States,Airplane,PIPER,PA-38,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,PIPER_PA-38
1982-06-28,"BENNINGTON, VT",United States,Airplane,PIPER,PA-31,Non-Fatal,Substantial,2.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,PIPER_PA-31
1982-06-28,"HEADLAND, AL",United States,Helicopter,BELL,47G-3B-1,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0,BELL_47G-3B-1
1982-06-29,"FRESNO, CA",United States,Airplane,CESSNA,R182,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,CESSNA_R182
1982-06-29,"BLUFFTON, OH",United States,Airplane,CESSNA,310K,Non-Fatal,Substantial,2.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,CESSNA_310K
1982-06-29,"MARTINSBURG, WV",United States,Airplane,CESSNA,172,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,CESSNA_172
1982-06-29,"SCOOBA, MS",United States,Airplane,CESSNA,185,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,CESSNA_185
