Event.Date,Location,Country,Aircraft.Category,Make,Model,Injury.Severity,Aircraft.damage,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries
2011-08-31 00:00:00,"Stonington, ME",United States,Airplane,FANTASY AIR SRO,ALLEGRO 2000,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0
2011-09-01 00:00:00,"Provincetown, MA",United States,Airplane,PIPER,PA-28-181,Fatal,Destroyed,1.0,Reciprocating,1.0,0.0,1.0
2011-09-01 00:00:00,"Higginsville, MO",United States,Airplane,TAYLORCRAFT,DCO-65,Non-Fatal,Substantial,1.0,Reciprocating,0.0,1.0,0.0
2011-09-01 00:00:00,"Valparaiso, IN",United States,Airplane,AERONCA,7AC,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0
2011-09-01 00:00:00,"Baton Rouge, LA",United States,Airplane,BOMBARDIER INC,CL-600-2B19,Non-Fatal,Minor,2.0,Turbo Fan,0.0,0.0,0.0
2011-09-01 00:00:00,"Park Rapids, MN",United States,Airplane,AERO COMMANDER,S2R,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0
2011-09-01 00:00:00,"Hartland, ME",United States,Airplane,SPECTRUM,RX 550,Non-Fatal,Substantial,1.0,Reciprocating,0.0,1.0,0.0
2011-09-01 00:00:00,"Conroe, TX",United States,Airplane,CESSNA,140,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0
2011-09-02 00:00:00,"Stockton, CA",United States,Helicopter,ARROW FALCON EXPORTERS INC,UH-1H,Non-Fatal,Substantial,1.0,Turbo Shaft,0.0,1.0,0.0
2011-09-02 00:00:00,"Lakeport, CA",United States,Airplane,CONSOLIDATED AERONAUTICS INC.,LAKE LA-4-200,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,1.0
2011-09-02 00:00:00,"Nightmute, AK",United States,Airplane,CESSNA,208B,Fatal,Destroyed,1.0,Turbo Prop,1.0,0.0,0.0
2011-09-02 00:00:00,"Marion, IL",United States,Airplane,Vicari,Waiex,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0
2011-09-03 00:00:00,"Gerlach, NV",United States,Airplane,PIPER,PA-28-180,Non-Fatal,Substantial,1.0,Reciprocating,0.0,1.0,0.0
2011-09-03 00:00:00,"Heber City, UT",United States,Helicopter,ENSTROM,280FX,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,3.0
2011-09-03 00:00:00,"Tillamook, OR",United States,Airplane,STINSON,V77,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0
2011-09-03 00:00:00,"St. Petersburg, FL",United States,Helicopter,ROBINSON HELICOPTER,R22 BETA,Non-Fatal,Substantial,1.0,Reciprocating,0.0,1.0,0.0
2011-09-03 00:00:00,"Kanab, UT",United States,Airplane,SHERMAN CRAIG W,GLASAIR III,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0
2011-09-03 00:00:00,"Hollywood, FL",United States,Airplane,DURLING JAMES,RV-6A,Non-Fatal,Substantial,1.0,Reciprocating,0.0,2.0,0.0
2011-09-03 00:00:00,"Plutonic Aero., Australia, Australia",Australia,Helicopter,ROBINSON,R44,Fatal,Substantial,1.0,Reciprocating,1.0,0.0,1.0
2011-09-03 00:00:00,"Fort Worth, TX",United States,Airplane,AMERICAN CHAMPION AIRCRAFT,8GCBC,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0
2011-09-03 00:00:00,"Gainesville, TX",United States,Airplane,PIPER,J3L-65,Non-Fatal,Substantial,1.0,Reciprocating,0.0,1.0,0.0
2011-09-04 00:00:00,"Deadhorse, AK",United States,Airplane,PIPER,PA-18-150,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0
2011-09-04 00:00:00,"McGrath, AK",United States,Airplane,PIPER,PA-18-150,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,1.0
